indice_tiempo,total,por_categoria_deuda_comercial,anticipos_prefinanciacion_bienes,deuda_por_importacion_bienes,deuda_comercial_servicios,deuda_comercial_lineas_credito,por_categoria_deuda_financiera,deuda_financiera_prestamos_financieros,prestamos_financieros_titulos_deuda,deuda_financiera_por_utilidades_dividendos,deuda_financiera_linea_credito_financiera,deuda_financiera_otras_deudas,por_acreedor_clientes_del_exterior,por_acreedor_proveedores_del_exterior,por_acreedor_empresas_del_mismo_grupo,por_acreedor_entidades_financieras_internacionales,por_acreedor_multiples_tenedores_titulos,por_acreedor_organismos_internacionales_agencias_oficiales,por_acreedor_otros,en_porcentaje_del_pib,en_porcentaje_rrii,en_porcentaje_las_exportaciones
2014-10-01,60512.90606539572,37560.70022989,5745.77446,21968.46096893,9170.40403081,676.0607701499999,22952.205835505596,12595.36067731,7766.0048715956,1795.82612856,366.658118,428.35604004,2022.7183422,14349.564887669969,27176.787022140026,6892.997315799999,7734.486629005599,1454.05566519,882.2962033900009,0.10748075285435203,1.9245542149115822,0.7394033181640771
2015-01-01,62500.219037645,39235.830448039895,5599.713178970001,23308.900312889895,9446.21838676,880.9985694200001,23264.3885896052,12488.826613710002,8197.8425481552,1685.9647737,363.67498104000003,528.079673,1912.7976052799993,15168.731286229953,28260.957954799993,6760.142429839999,8166.396214975199,1373.85290325,857.3406432699995,0.10814741291240505,1.9847921654156528,0.7800145425860785
2015-04-01,67456.03403062066,42134.382962199896,6864.68908593,24211.331801179902,9805.544313999992,1252.81776109,25321.651068420506,12345.30613,9669.146405990501,2019.9902604000001,360.20624418,927.0020278499999,2211.4056312499997,16078.428888490023,29854.19761615994,7494.443912770003,9639.207543620501,1242.54599571,935.80444262,0.11321291585806845,1.9927136029500934,0.8920318195900764
2015-07-01,67472.89964773064,41438.42714347009,6259.80632151,23854.1363276801,10163.56698484,1160.91750944,26034.4725042608,12798.82027034,9659.552065660799,2187.31342735,357.38583766000005,1031.40090325,2189.2566344000006,15984.912184209994,30026.232807399985,7245.996309380003,9631.2539555708,1434.1393379600001,961.1084188099994,0.1089679661836101,2.028824322372083,0.9244124349090428
2015-10-01,65752.92872176634,41150.41865042009,6475.5670102700005,22947.9347347201,10473.939569339991,1252.9773360899999,24602.5100713465,12389.3286456,9715.6067359365,1257.48940969,354.03831532,886.0469648000001,1891.4542455800015,15446.91872175999,28516.240602390022,7450.690774520001,9690.0865744765,1704.9950017,1052.5428013399994,0.10419215591521025,2.5721429090351737,0.9388955609772344
2016-01-01,65364.684654005556,39604.75067962002,6551.16953705,22309.73059154,9766.187660710011,977.6628903200001,25759.933974385902,12691.017848020001,10659.5713680659,1203.10564023,361.04475406,845.1943640099989,1709.1367819200007,14610.229336060043,28340.486331520013,7489.558495080002,10635.807857405902,1636.50742943,942.9584225899996,0.10770186951331703,2.210380069178207,0.9302747573349232
2016-04-01,62313.8124765405,36570.78396909,6796.98610509,20694.06048823,8226.94597738,852.79139839,25743.0285074506,12825.848807109998,10668.9214204006,1264.30885178,366.19788661,617.7515415500001,1705.883585250001,13383.569087350039,27020.68230111004,7174.198432910002,10637.6279489506,1525.4985118000002,866.3526091699998,0.10596236121652282,2.042588538143149,0.9019835359945481
2016-07-01,62732.81724015603,34112.4040287735,6204.4270118184,19192.0077969658,7805.9683215493,910.00089844,28620.4132113827,13603.336828372301,12828.5002458572,1162.9469405901,367.29147188999997,658.3377246731,1828.0146786901996,12566.361049188525,26014.047458528003,7061.608066827002,12801.525358527,1494.95358067,966.3070477253992,0.11172421216240833,2.0979775088842265,0.9110766985557437
2016-10-01,59368.244918506105,31819.303516936805,5361.5650187761,17539.5386440593,8021.284184461409,896.91566964,27548.9414015693,12880.086905296701,12952.906880463199,802.113899646101,367.36780154,546.4659146233,1737.361494186,12419.9037688934,22860.5086829648,6682.44661118999,12944.9068804632,1888.97578795,834.141692858699,0.10894455375173383,1.5103227930343504,0.8412802955141463
2017-01-01,62463.7438451512,32754.81367681351,5920.4081738144,17970.9243805454,8038.04899837371,825.43212408,29708.930168337898,13464.5944759289,14410.4445637807,945.1135799536,380.23217458,508.5453740947,1804.691376623,12309.1359144148,24101.6987665679,7018.3119352878,14402.4445637807,1981.91005554,845.5512329372,0.10988839884262859,1.2363672033005662,0.8778209155603214
2017-04-01,63852.58829577061,33581.05759399871,5595.1437433083,19012.1764420254,8181.512215813009,792.225192852,30271.5307017723,13293.8730015472,15050.2724347658,920.8565384024,400.44463421999995,606.084092836899,1712.5267181232,13395.3124456455,24132.0656198764,6786.4829557329,15042.2724347658,1891.933965907,891.994155720299,0.10867666096517005,1.3304008395826776,0.8919635070827464
2017-07-01,67941.8752515685,34853.3325246878,5563.9416226076,20319.003227577,8062.2770811512,908.110593352,33088.5427268807,15021.1572466481,15685.7937048088,1039.6751460601,422.26994226,919.6466871036989,1969.7818302873,13885.8522885025,26117.5360503618,7486.8178891324,15241.4762340388,1900.8892784975,1339.5466807482,0.11281379802951409,1.3524294842446802,0.9437142880278323
